item_id;definition;type;category;lexical_category;lexical_class;uni_lemma;complexity_category;num_item_id
item_418;bygge;word;action_words;predicates;verbs;NA;;418
item_419;bære;word;action_words;predicates;verbs;NA;;419
item_420;danse;word;action_words;predicates;verbs;dance;;420
item_421;dele;word;action_words;predicates;verbs;NA;;421
item_422;drikke;word;action_words;predicates;verbs;drink (action);;422
item_423;dytte;word;action_words;predicates;verbs;push;;423
item_424;elske;word;action_words;predicates;verbs;love;;424
item_425;fange;word;action_words;predicates;verbs;NA;;425
item_426;falle;word;action_words;predicates;verbs;fall;;426
item_427;finne;word;action_words;predicates;verbs;NA;;427
item_428;forte seg;word;action_words;predicates;verbs;hurry;;428
item_429;få;word;action_words;predicates;verbs;get;;429
item_430;gi;word;action_words;predicates;verbs;give;;430
item_431;gjemme;word;action_words;predicates;verbs;NA;;431
item_432;gjøre seg ferdig;word;action_words;predicates;verbs;finish;;432
item_433;gli;word;action_words;predicates;verbs;NA;;433
item_434;gråte;word;action_words;predicates;verbs;cry;;434
item_435;gå;word;action_words;predicates;verbs;walk;;435
item_436;ha;word;action_words;predicates;verbs;NA;;436
item_437;hate;word;action_words;predicates;verbs;NA;;437
item_438;helle;word;action_words;predicates;verbs;NA;;438
item_439;hente;word;action_words;predicates;verbs;get;;439
item_440;hjelpe;word;action_words;predicates;verbs;help;;440
item_441;holde;word;action_words;predicates;verbs;NA;;441
item_442;holde øye med;word;action_words;predicates;verbs;watch (action);;442
item_443;hoppe;word;action_words;predicates;verbs;jump;;443
item_444;huske;word;action_words;predicates;verbs;swing (action);;444
item_445;høre;word;action_words;predicates;verbs;NA;;445
item_446;høre etter;word;action_words;predicates;verbs;NA;;446
item_447;følge etter;word;action_words;predicates;verbs;NA;;447
item_448;kaste;word;action_words;predicates;verbs;throw;;448
item_449;kile;word;action_words;predicates;verbs;tickle;;449
item_450;kjøpe;word;action_words;predicates;verbs;NA;;450
item_451;kjøre;word;action_words;predicates;verbs;drive;;451
item_452;klappe;word;action_words;predicates;verbs;NA;;452
item_453;klatre;word;action_words;predicates;verbs;NA;;453
item_454;klemme;word;action_words;predicates;verbs;hug;;454
item_455;kle på;word;action_words;predicates;verbs;NA;;455
item_456;koste;word;action_words;predicates;verbs;NA;;456
item_457;kysse;word;action_words;predicates;verbs;kiss;;457
item_458;lage mat;word;action_words;predicates;verbs;NA;;458
item_459;late som;word;action_words;predicates;verbs;NA;;459
item_460;putte;word;action_words;predicates;verbs;NA;;460
item_461;legge;word;action_words;predicates;verbs;put;;461
item_462;leke;word;action_words;predicates;verbs;play;;462
item_463;lese;word;action_words;predicates;verbs;read;;463
item_464;like;word;action_words;predicates;verbs;NA;;464
item_465;lukke;word;action_words;predicates;verbs;close;;465
item_466;løpe;word;action_words;predicates;verbs;run;;466
item_467;male;word;action_words;predicates;verbs;NA;;467
item_468;mate;word;action_words;predicates;verbs;feed;;468
item_469;miste;word;action_words;predicates;verbs;NA;;469
item_470;reparere;word;action_words;predicates;verbs;NA;;470
item_471;passe;word;action_words;predicates;verbs;NA;;471
item_472;plaske;word;action_words;predicates;verbs;splash;;472
item_473;prøve;word;action_words;predicates;verbs;NA;;473
item_474;puste;word;action_words;predicates;verbs;NA;;474
item_475;ri;word;action_words;predicates;verbs;ride;;475
item_476;riste;word;action_words;predicates;verbs;NA;;476
item_477;rive av;word;action_words;predicates;verbs;NA;;477
item_478;rydde;word;action_words;predicates;verbs;clean (action);;478
item_479;røre;word;action_words;predicates;verbs;NA;;479
item_480;se;word;action_words;predicates;verbs;see;;480
item_481;se på;word;action_words;predicates;verbs;look;;481
item_482;sette;word;action_words;predicates;verbs;NA;;482
item_483;si;word;action_words;predicates;verbs;say;;483
item_484;sitte;word;action_words;predicates;verbs;NA;;484
item_485;skjære;word;action_words;predicates;verbs;NA;;485
item_486;skli;word;action_words;predicates;verbs;NA;;486
item_487;skrive;word;action_words;predicates;verbs;write;;487
item_488;skynde seg;word;action_words;predicates;verbs;NA;;488
item_489;slikke;word;action_words;predicates;verbs;NA;;489
item_490;slutte;word;action_words;predicates;verbs;NA;;490
item_491;slå;word;action_words;predicates;verbs;hit;;491
item_492;smake;word;action_words;predicates;verbs;NA;;492
item_493;smile;word;action_words;predicates;verbs;smile;;493
item_494;snakke;word;action_words;predicates;verbs;NA;;494
item_495;sove;word;action_words;predicates;verbs;sleep;;495
